Epoch,Loss,CurrentLR,BestLoss,StagnantEpochs
1,7.752736,0.005000,7.752736,0
2,7.734642,0.005000,7.734642,0
3,7.715737,0.005000,7.715737,0
4,7.697186,0.005000,7.697186,0
5,7.678605,0.005000,7.678605,0
6,7.661362,0.005000,7.661362,0
7,7.642374,0.005000,7.642374,0
8,7.624074,0.005000,7.624074,0
9,7.607376,0.005000,7.607376,0
10,7.640860,0.005000,7.607376,1
11,7.572697,0.005000,7.572697,0
12,7.554475,0.005000,7.554475,0
13,7.541162,0.005000,7.541162,0
14,7.517141,0.005000,7.517141,0
15,7.500203,0.005000,7.500203,0
16,7.495770,0.005000,7.495770,0
17,7.463748,0.005000,7.463748,0
18,7.446533,0.005000,7.446533,0
19,7.427220,0.005000,7.427220,0
20,7.408941,0.005000,7.408941,0
21,7.389889,0.005000,7.389889,0
22,7.372776,0.005000,7.372776,0
23,7.356371,0.005000,7.356371,0
24,7.338469,0.005000,7.338469,0
25,7.320206,0.005000,7.320206,0
26,7.303074,0.005000,7.303074,0
27,7.284492,0.005000,7.284492,0
28,7.266875,0.005000,7.266875,0
29,7.250289,0.005000,7.250289,0
30,7.231928,0.005000,7.231928,0
31,7.213215,0.005000,7.213215,0
32,7.196440,0.005000,7.196440,0
33,7.179986,0.005000,7.179986,0
34,7.164323,0.005000,7.164323,0
35,7.147407,0.005000,7.147407,0
36,7.130323,0.005000,7.130323,0
37,7.113567,0.005000,7.113567,0
38,7.095770,0.005000,7.095770,0
39,7.076040,0.005000,7.076040,0
40,7.056719,0.005000,7.056719,0
41,7.038253,0.005000,7.038253,0
42,7.020282,0.005000,7.020282,0
43,7.002785,0.005000,7.002785,0
44,6.985214,0.005000,6.985214,0
45,6.967953,0.005000,6.967953,0
46,6.968605,0.005000,6.967953,1
47,6.934423,0.005000,6.934423,0
48,6.917503,0.005000,6.917503,0
49,6.918064,0.005000,6.917503,1
50,6.882110,0.005250,6.882110,0
51,6.863219,0.005250,6.863219,0
52,6.846470,0.005250,6.846470,0
53,6.828649,0.005250,6.828649,0
54,6.813262,0.005250,6.813262,0
55,6.795231,0.005250,6.795231,0
56,6.777049,0.005250,6.777049,0
57,6.760390,0.005250,6.760390,0
58,6.744310,0.005250,6.744310,0
59,6.727417,0.005250,6.727417,0
60,6.710244,0.005250,6.710244,0
61,6.763739,0.005250,6.710244,1
62,6.678191,0.005250,6.678191,0
63,6.751937,0.005250,6.678191,1
64,6.644987,0.005250,6.644987,0
65,6.627970,0.005250,6.627970,0
66,6.613289,0.005250,6.613289,0
67,6.597137,0.005250,6.597137,0
68,6.580990,0.005250,6.580990,0
69,6.564855,0.005250,6.564855,0
70,6.547447,0.005250,6.547447,0
71,6.611702,0.005250,6.547447,1
72,6.531723,0.005250,6.531723,0
73,6.498438,0.005512,6.498438,0
74,6.483907,0.005512,6.483907,0
75,6.469722,0.005512,6.469722,0
76,6.462002,0.005512,6.462002,0
77,6.456960,0.005512,6.456960,0
78,6.465464,0.005512,6.456960,1
79,6.456755,0.005512,6.456755,0
80,6.431631,0.005512,6.431631,0
81,6.424356,0.005512,6.424356,0
82,6.415269,0.005512,6.415269,0
83,6.407536,0.005512,6.407536,0
84,6.401004,0.005512,6.401004,0
85,6.394686,0.005512,6.394686,0
86,6.387464,0.005512,6.387464,0
87,6.475178,0.005512,6.387464,1
88,6.373076,0.005512,6.373076,0
89,6.365684,0.005512,6.365684,0
90,6.358340,0.005512,6.358340,0
91,6.373574,0.005512,6.358340,1
92,6.344110,0.005512,6.344110,0
93,6.336623,0.005512,6.336623,0
94,6.329325,0.005512,6.329325,0
95,6.322937,0.005512,6.322937,0
96,6.316686,0.005512,6.316686,0
97,6.310470,0.005512,6.310470,0
98,6.304211,0.005512,6.304211,0
99,6.296980,0.005512,6.296980,0
100,6.289785,0.005512,6.289785,0
101,6.283199,0.005512,6.283199,0
102,6.277023,0.005512,6.277023,0
103,6.270302,0.005512,6.270302,0
104,6.263896,0.005512,6.263896,0
