Epoch,Loss,CurrentLR,BestLoss,StagnantEpochs
1,7.636548,0.015000,7.636548,0
2,7.603759,0.015000,7.603759,0
3,7.579634,0.015000,7.579634,0
4,7.566752,0.015000,7.566752,0
5,7.510829,0.015000,7.510829,0
6,7.498514,0.015000,7.498514,0
7,7.451672,0.015000,7.451672,0
8,7.437727,0.015000,7.437727,0
9,7.374627,0.015000,7.374627,0
10,7.347525,0.015000,7.347525,0
11,7.301926,0.015000,7.301926,0
12,7.272614,0.015000,7.272614,0
13,7.249458,0.015000,7.249458,0
14,7.244778,0.015000,7.244778,0
15,7.183170,0.015000,7.183170,0
16,7.192358,0.015000,7.183170,1
17,7.113722,0.015000,7.113722,0
18,7.042433,0.015000,7.042433,0
19,7.045491,0.015000,7.042433,1
20,7.008090,0.015000,7.008090,0
21,7.024190,0.015000,7.008090,1
22,6.983470,0.015000,6.983470,0
23,6.964517,0.015750,6.964517,0
24,6.875873,0.016537,6.875873,0
25,6.828980,0.017364,6.828980,0
26,6.794683,0.018233,6.794683,0
27,6.760443,0.019144,6.760443,0
28,6.724185,0.020101,6.724185,0
29,6.687104,0.021106,6.687104,0
30,6.646066,0.022162,6.646066,0
31,6.600752,0.023270,6.600752,0
32,6.680795,0.024433,6.600752,1
33,6.589337,0.025655,6.589337,0
34,6.531706,0.026938,6.531706,0
35,6.483734,0.028285,6.483734,0
36,6.432192,0.029699,6.432192,0
37,6.384483,0.031184,6.384483,0
38,6.406174,0.032743,6.384483,1
39,6.296094,0.034380,6.296094,0
40,6.272258,0.036099,6.272258,0
41,6.205412,0.037904,6.205412,0
42,6.169985,0.039799,6.169985,0
43,6.139536,0.041789,6.139536,0
44,6.112217,0.043879,6.112217,0
45,6.085180,0.046073,6.085180,0
46,6.054765,0.048376,6.054765,0
47,6.023801,0.050795,6.023801,0
48,6.000568,0.053335,6.000568,0
49,5.976078,0.056002,5.976078,0
50,5.951429,0.058802,5.951429,0
51,5.912005,0.061742,5.912005,0
52,5.868710,0.064829,5.868710,0
53,5.823579,0.068070,5.823579,0
54,5.781672,0.071474,5.781672,0
55,5.749609,0.075048,5.749609,0
56,5.719615,0.078800,5.719615,0
57,5.681753,0.082740,5.681753,0
58,5.651146,0.086877,5.651146,0
59,5.608932,0.091221,5.608932,0
60,5.558941,0.095782,5.558941,0
61,5.512080,0.100571,5.512080,0
62,5.486301,0.105600,5.486301,0
63,5.418071,0.110880,5.418071,0
64,5.385400,0.116424,5.385400,0
65,5.335590,0.122245,5.335590,0
66,5.291657,0.128357,5.291657,0
67,5.252085,0.134775,5.252085,0
68,5.211283,0.141514,5.211283,0
69,5.164816,0.148589,5.164816,0
70,5.126399,0.156019,5.126399,0
71,5.088939,0.163820,5.088939,0
72,5.032260,0.172011,5.032260,0
73,4.992331,0.180611,4.992331,0
74,4.978117,0.189642,4.978117,0
75,4.929914,0.199124,4.929914,0
76,4.854015,0.209080,4.854015,0
77,4.891625,0.219534,4.854015,1
78,4.851766,0.230511,4.851766,0
79,4.823834,0.242036,4.823834,0
80,4.777120,0.254138,4.777120,0
81,4.803560,0.266845,4.777120,1
82,4.762464,0.280187,4.762464,0
83,4.714628,0.294196,4.714628,0
84,4.675122,0.308906,4.675122,0
85,4.646789,0.324351,4.646789,0
86,4.631375,0.340569,4.631375,0
87,4.612109,0.357597,4.612109,0
88,4.605189,0.375477,4.605189,0
89,4.633546,0.394251,4.605189,1
90,4.558275,0.413964,4.558275,0
91,4.524900,0.434662,4.524900,0
92,4.548189,0.456395,4.524900,1
93,4.479782,0.479215,4.479782,0
94,4.721159,0.503175,4.479782,1
95,4.384036,0.528334,4.384036,0
96,4.376709,0.554751,4.376709,0
97,4.419014,0.582488,4.376709,1
98,4.435215,0.611613,4.376709,2
99,4.763916,0.642193,4.376709,3
100,4.468843,0.674303,4.376709,4
101,4.433391,0.708018,4.376709,5
102,4.704127,0.743419,4.376709,6
103,4.340449,0.780590,4.340449,0
104,4.316221,0.819619,4.316221,0
105,4.322639,0.860600,4.316221,1
106,4.331354,0.903630,4.316221,2
107,4.283854,0.948811,4.283854,0
108,4.297165,0.996252,4.283854,1
109,4.330042,1.046064,4.283854,2
110,4.329333,1.098368,4.283854,3
111,4.355639,1.153286,4.283854,4
112,4.344203,1.210950,4.283854,5
113,4.446324,1.271498,4.283854,6
114,4.487788,1.335073,4.283854,7
115,4.710063,1.401826,4.283854,8
116,4.830006,1.471917,4.283854,9
117,5.139328,1.545513,4.283854,10
118,5.713313,1.622789,4.283854,11
119,6.073554,1.703928,4.283854,12
120,5.776806,1.789124,4.283854,13
121,6.571122,1.878580,4.283854,14
122,6.040365,1.972509,4.283854,15
123,7.327137,2.071135,4.283854,16
124,6.159051,2.174691,4.283854,17
125,8.673805,2.283426,4.283854,18
126,10.806911,2.397597,4.283854,19
127,10.212676,2.517477,4.283854,20
128,9.259264,2.643351,4.283854,21
129,13.262364,2.775518,4.283854,22
130,12.356443,2.914294,4.283854,23
131,14.971642,3.060008,4.283854,24
132,16.512072,3.213009,4.283854,25
133,11.641912,3.373659,4.283854,26
134,13.611583,3.542342,4.283854,27
135,15.278953,3.719459,4.283854,28
136,14.924710,3.905431,4.283854,29
137,15.610643,4.100703,4.283854,30
138,13.878693,4.305737,4.283854,31
139,16.291361,4.521024,4.283854,32
140,13.522375,4.747075,4.283854,33
141,16.599806,4.984428,4.283854,34
142,18.846159,5.233650,4.283854,35
143,17.699759,5.495332,4.283854,36
144,14.049818,5.770098,4.283854,37
145,14.138898,6.058603,4.283854,38
146,14.574093,6.361533,4.283854,39
147,14.705141,6.679609,4.283854,40
148,18.289759,7.013589,4.283854,41
149,18.593681,7.364268,4.283854,42
150,18.006609,7.732481,4.283854,43
151,18.136847,8.119104,4.283854,44
152,16.240692,8.525059,4.283854,45
153,15.808582,8.951311,4.283854,46
154,17.982262,9.398876,4.283854,47
155,16.993717,9.868819,4.283854,48
156,16.912098,10.362260,4.283854,49
157,16.493118,10.880372,4.283854,50
158,16.264635,11.424390,4.283854,51
159,17.310144,11.995608,4.283854,52
160,16.993376,12.595388,4.283854,53
161,19.417442,13.225157,4.283854,54
162,18.477184,13.886414,4.283854,55
163,19.600842,14.580733,4.283854,56
164,19.434181,15.309770,4.283854,57
165,19.485046,16.075258,4.283854,58
166,19.528631,16.879021,4.283854,59
167,19.698774,17.722971,4.283854,60
168,19.783188,18.609119,4.283854,61
169,20.000000,19.539574,4.283854,62
170,19.553928,20.516552,4.283854,63
171,18.727196,21.542379,4.283854,64
172,19.619841,22.619497,4.283854,65
173,19.755663,23.750471,4.283854,66
174,19.560612,24.937994,4.283854,67
175,19.963638,26.184893,4.283854,68
176,20.000000,27.494137,4.283854,69
177,20.000000,28.868843,4.283854,70
178,18.665590,30.312284,4.283854,71
179,20.000000,31.827898,4.283854,72
180,19.311249,33.419292,4.283854,73
181,20.000000,35.090256,4.283854,74
182,20.000000,36.844769,4.283854,75
183,20.000000,38.687004,4.283854,76
184,20.000000,40.621353,4.283854,77
185,20.000000,42.652420,4.283854,78
186,19.894947,44.785038,4.283854,79
187,20.000000,47.024288,4.283854,80
188,19.942434,49.375500,4.283854,81
189,20.000000,51.844273,4.283854,82
190,20.000000,54.436485,4.283854,83
191,20.000000,57.158306,4.283854,84
192,19.654575,60.016220,4.283854,85
193,20.000000,63.017029,4.283854,86
194,20.000000,66.167877,4.283854,87
195,20.000000,69.476265,4.283854,88
196,20.000000,72.950073,4.283854,89
197,20.000000,76.597572,4.283854,90
198,20.000000,80.427444,4.283854,91
199,20.000000,84.448814,4.283854,92
200,20.000000,88.671249,4.283854,93
201,20.000000,93.104805,4.283854,94
202,20.000000,97.760040,4.283854,95
203,20.000000,102.648041,4.283854,96
204,20.000000,107.780441,4.283854,97
205,20.000000,113.169456,4.283854,98
206,20.000000,118.827927,4.283854,99
207,20.000000,124.769318,4.283854,100
208,20.000000,131.007782,4.283854,101
209,20.000000,137.558167,4.283854,102
210,20.000000,144.436066,4.283854,103
211,20.000000,151.657867,4.283854,104
212,20.000000,159.240753,4.283854,105
213,20.000000,167.202789,4.283854,106
214,20.000000,175.562927,4.283854,107
215,20.000000,184.341064,4.283854,108
216,20.000000,193.558105,4.283854,109
217,20.000000,203.236008,4.283854,110
218,20.000000,213.397797,4.283854,111
219,20.000000,224.067673,4.283854,112
220,20.000000,235.271042,4.283854,113
221,20.000000,247.034576,4.283854,114
222,20.000000,259.386292,4.283854,115
223,20.000000,272.355591,4.283854,116
224,20.000000,285.973358,4.283854,117
225,20.000000,300.272003,4.283854,118
226,20.000000,315.285583,4.283854,119
227,20.000000,331.049835,4.283854,120
228,20.000000,347.602325,4.283854,121
229,20.000000,364.982422,4.283854,122
230,20.000000,383.231537,4.283854,123
231,20.000000,402.393097,4.283854,124
232,20.000000,422.512726,4.283854,125
233,20.000000,443.638336,4.283854,126
234,20.000000,465.820221,4.283854,127
235,20.000000,489.111206,4.283854,128
236,20.000000,513.566772,4.283854,129
237,20.000000,539.245056,4.283854,130
238,20.000000,566.207275,4.283854,131
